Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW Effective Zone Air Temperature Setpoint [C](TimeStep),EMS:IW Occp First Come Pred [](TimeStep),EMS:IW Occp Last Leave Pred [](TimeStep),EMS:IW Occp Mode [](TimeStep),EMS:IW Hot Water Supply Temperature Setpoint Action [C](TimeStep),EMS:IW Calculated Heating Demand [KW](TimeStep),EMS:IW Average PMV [%](TimeStep),EMS:Setback Flag Sensor [](TimeStep),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Temperature [C](TimeStep),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Mass Flow Rate [kg/s](TimeStep),TEMPHWLOOP DEMAND SIDE INLET:System Node Temperature [C](TimeStep),TEMPHWLOOP DEMAND SIDE INLET:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/01  07:35:00,8.28333333333333,76.4166666666667,8.33333333333334,0.0,17.8581560124078,18.,12.,16.,0.0,17.8581560124078,15.1476435138771,-999.,1.,27.8922120251141,4.4390336730227,28.3029206067682,4.4390336730227 
 01/01  07:40:00,8.26666666666667,76.3333333333333,10.6666666666667,0.0,17.861062450529,18.,12.,16.,0.0,17.861062450529,14.2187208353766,-999.,1.,27.2801172416585,4.4390336730227,27.6683597354507,4.4390336730227 
 01/01  07:45:00,8.25,76.25,13.,0.0,17.8562075025142,18.,12.,16.,0.0,17.8562075025142,13.3110763373151,-999.,1.,26.7086943456327,4.4390336730227,27.0721132801518,4.4390336730227 
 01/01  07:50:00,8.23333333333333,76.1666666666667,15.3333333333333,0.0,17.8466171466261,18.,12.,16.,0.0,17.8466171466261,12.4492726048358,-999.,1.,26.1745807301603,4.4390336730227,26.5143774577974,4.4390336730227 
 01/01  07:55:00,8.21666666666667,76.0833333333333,17.6666666666667,0.0,17.8343053185969,18.,12.,16.,0.0,17.8343053185969,11.6244738016354,-999.,1.,25.6760995590557,4.4390336730227,25.9933530591746,4.4390336730227 
 01/01  08:00:00,8.2,76.,20.,0.0,17.8204592687504,18.,12.,16.,0.0,17.8204592687504,10.8580500903194,-999.,1.,25.2109266312417,4.4390336730227,25.5070140916267,4.4390336730227 
 01/01  08:05:00,8.20833333333333,75.9166666666667,22.3333333333333,0.0,17.8057067798935,18.,12.,16.,0.0,17.8057067798935,10.2205134330544,-999.,1.,24.7738947301734,4.4390336730227,25.0516716836908,4.4390336730227 
 01/01  08:10:00,8.21666666666667,75.8333333333333,24.6666666666667,0.0,17.8073469805886,18.,12.,16.,0.0,17.8073469805886,9.590995944882,-999.,1.,24.3634767649393,4.4390336730227,24.6242814690904,4.4390336730227 
 01/01  08:15:00,8.225,75.75,27.,0.0,17.8110692257927,18.,12.,16.,0.0,17.8110692257927,9.18315569191718,-999.,1.,23.9722126350851,4.4390336730227,24.2200364869926,4.4390336730227 
 01/01  08:20:00,8.23333333333333,75.6666666666667,29.3333333333333,0.0,17.812489673853,18.,12.,16.,0.0,17.812489673853,8.7352215599786,-999.,1.,23.5989318400279,4.4390336730227,23.8351645517421,4.4390336730227 
 01/01  08:25:00,8.24166666666667,75.5833333333333,31.6666666666667,0.0,17.8111353809544,18.,12.,16.,0.0,17.8111353809544,8.32984862103585,-999.,1.,23.2436944678978,4.4390336730227,23.4685866446015,4.4390336730227 
 01/01  08:30:00,8.25,75.5,34.,0.0,17.8073639799068,18.,12.,16.,0.0,17.8073639799068,7.94572286525977,-999.,1.,22.9049570310985,4.4390336730227,23.1193291833711,4.4390336730227 
 01/01  08:35:00,8.25833333333333,75.4166666666667,36.6666666666667,0.0,17.8020224332973,18.,12.,16.,0.0,17.8020224332973,7.58326728712,-999.,1.,22.581919457534,4.4390336730227,22.7863363313081,4.4390336730227 
 01/01  08:40:00,8.26666666666667,75.3333333333333,39.3333333333333,0.0,17.7958120085606,18.,12.,16.,0.0,17.7958120085606,7.2410566784974,-999.,1.,22.2736880875438,4.4390336730227,22.4687094736109,4.4390336730227 
